2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Training Configuration
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Runs: 50
2026-01-07 11:17:13 | INFO     | q_learning | Episodes per run: 300
2026-01-07 11:17:13 | INFO     | q_learning | Learning rate: 0.001
2026-01-07 11:17:13 | INFO     | q_learning | Gamma (discount): 0.99
2026-01-07 11:17:13 | INFO     | q_learning | Epsilon (exploration): 0.1
2026-01-07 11:17:13 | INFO     | q_learning | Render mode: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | Verbose logging: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | WandB Project: dqn_cartpole
2026-01-07 11:17:13 | INFO     | q_learning | WandB Group: CartPole-v1_DQN_20260107_111713
2026-01-07 11:17:13 | INFO     | q_learning | Log file: ./output/training_20260107_111713.log
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | 
================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Starting Run 1/50
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   42 | Reward:  11.00 | Steps:   11 | Avg(10):  10.10 | Loss: 2.820394
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   43 | Reward:  11.00 | Steps:   11 | Avg(10):  10.30 | Loss: 4.159281
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   44 | Reward:   9.00 | Steps:    9 | Avg(10):  10.30 | Loss: 3.340890
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   45 | Reward:  11.00 | Steps:   11 | Avg(10):  10.40 | Loss: 2.311363
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   46 | Reward:   9.00 | Steps:    9 | Avg(10):  10.30 | Loss: 2.871661
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   47 | Reward:   9.00 | Steps:    9 | Avg(10):  10.30 | Loss: 2.590526
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   48 | Reward:  10.00 | Steps:   10 | Avg(10):  10.30 | Loss: 1.885293
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   49 | Reward:  16.00 | Steps:   16 | Avg(10):  10.60 | Loss: 4.290633
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   50 | Reward:  10.00 | Steps:   10 | Avg(10):  10.70 | Loss: 1.698215
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   51 | Reward:   8.00 | Steps:    8 | Avg(10):  10.40 | Loss: 3.043104
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   52 | Reward:   8.00 | Steps:    8 | Avg(10):  10.10 | Loss: 2.695204
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   53 | Reward:  11.00 | Steps:   11 | Avg(10):  10.10 | Loss: 3.087658
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   54 | Reward:  10.00 | Steps:   10 | Avg(10):  10.20 | Loss: 2.260965
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   55 | Reward:   9.00 | Steps:    9 | Avg(10):  10.00 | Loss: 1.152181
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   56 | Reward:  11.00 | Steps:   11 | Avg(10):  10.20 | Loss: 1.569174
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   57 | Reward:   9.00 | Steps:    9 | Avg(10):  10.20 | Loss: 1.014502
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   58 | Reward:   9.00 | Steps:    9 | Avg(10):  10.10 | Loss: 0.885145
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   59 | Reward:   9.00 | Steps:    9 | Avg(10):   9.40 | Loss: 0.774930
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   60 | Reward:   9.00 | Steps:    9 | Avg(10):   9.30 | Loss: 0.775718
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   61 | Reward:   9.00 | Steps:    9 | Avg(10):   9.40 | Loss: 0.626753
